cte,steering_angle,error
2.0454,0.00223,1.20442
2.0082,0.08559,1.20913
1.9806,0.03897,1.21363
1.9535,0.037825,1.21795
1.9135,0.104325,1.222
1.8744,0.10178,1.22578
1.8509,0.024955,1.22941
1.8215,0.055925,1.23285
1.8047,-0.006235,1.23618
1.7902,-0.01701,1.23942
1.7706,0.00947,1.24252
1.7586,-0.02793,1.24555
1.7476,-0.03238,1.24851
1.7321,-0.009105,1.25136
1.7219,-0.035095,1.25416
1.7122,-0.03711,1.25688
1.6977,-0.012385,1.25952
1.6877,-0.034385,1.2621
1.6794,-0.04247,1.26462
1.7036,-0.20618,1.26726
1.7415,-0.276575,1.27011
1.7985,-0.374925,1.27327
1.8381,-0.289905,1.27666
1.8508,-0.15604,1.28011
1.8527,-0.102135,1.28356
1.8413,-0.035065,1.28693
1.8263,-0.016315,1.2902
1.8075,0.003625,1.29335
1.7745,0.076275,1.29631
1.7501,0.034495,1.29912
1.7261,0.033695,1.30178
1.6908,0.09196,1.30425
1.6678,0.03161,1.30659
1.6467,0.023165,1.30881
1.6272,0.01614,1.31092
1.5999,0.056505,1.31289
1.583,0.00535,1.31476
1.5616,0.02892,1.31653
1.551,-0.02455,1.31823
1.5666,-0.15633,1.32001
1.5986,-0.23993,1.32194
1.6505,-0.342025,1.32413
1.6655,-0.158275,1.32639
1.6945,-0.229725,1.32879
1.7042,-0.13371,1.33124
1.7047,-0.087735,1.33368
1.6904,-0.01302,1.33604
1.6745,-0.004225,1.33831
1.6559,0.010205,1.34047
1.6246,0.07527,1.34247
1.6022,0.03189,1.34436
1.5806,0.02897,1.34613
1.5493,0.079035,1.34775
1.5193,0.074035,1.34922
1.5015,0.013925,1.3506
1.4797,0.035015,1.35188
1.4675,-0.012375,1.35311
1.4525,0.002375,1.35426
1.4442,-0.03071,1.35537
1.4337,-0.019185,1.35643
1.4274,-0.03987,1.35746
1.4216,-0.04208,1.35847
1.4129,-0.027145,1.35943
1.4067,-0.039335,1.36036
1.3971,-0.021855,1.36126
1.3868,-0.01784,1.3621
1.3795,-0.032475,1.36291
1.3722,-0.03211,1.36369
1.3609,-0.011545,1.36442
1.3652,-0.08976,1.36517
1.3839,-0.162695,1.36599
1.4182,-0.24241,1.36695
1.4437,-0.199685,1.36802
1.4631,-0.170155,1.36917
1.4794,-0.15547,1.37038
1.4824,-0.08912,1.37161
1.4793,-0.058465,1.37282
1.466,-0.0068,1.37396
1.4524,-0.00462,1.37505
1.4367,0.006665,1.37606
1.4195,0.015025,1.377
1.4013,0.020935,1.37786
1.3826,0.02437,1.37865
1.3544,0.07328,1.37931
1.336,0.0252,1.37991
1.3193,0.017535,1.38043
1.3039,0.011805,1.3809
1.2827,0.041865,1.38129
1.2698,0.00101,1.38162
1.2586,-0.00693,1.38191
1.2486,-0.01243,1.38217
1.2351,0.005745,1.38238
1.2269,-0.020345,1.38256
1.2196,-0.02448,1.38271
1.2129,-0.027145,1.38284
1.2033,-0.012165,1.38293
1.197,-0.02835,1.383
1.1882,-0.01541,1.38304
1.1824,-0.03012,1.38306
1.1741,-0.017205,1.38306
1.1713,-0.044565,1.38304
1.1631,-0.017155,1.383
1.1573,-0.028865,1.38294
1.1512,-0.02706,1.38285
1.1417,-0.009585,1.38274
1.1349,-0.022745,1.38261
1.1248,-0.00574,1.38244
1.118,-0.0219,1.38225
1.1114,-0.02257,1.38205
1.1013,-0.004565,1.38181
1.0944,-0.02022,1.38155
1.0845,-0.004725,1.38126
1.078,-0.0214,1.38095
1.0687,-0.006935,1.38062
1.0627,-0.023135,1.38026
1.0825,-0.153125,1.37997
1.3357,-1,1.38054
1.2775,0.227125,1.38089
1.2553,0.048235,1.38116
1.2656,-0.11478,1.38147
1.3109,-0.292045,1.38193
1.3484,-0.25492,1.38254
1.3956,-0.30578,1.38332
1.4175,-0.180375,1.38419
1.4292,-0.12996,1.3851
1.4314,-0.08257,1.38601
1.4244,-0.03622,1.3869
1.4121,-0.009105,1.38773
1.3869,0.056655,1.38847
1.3667,0.032665,1.38913
1.336,0.0867,1.38967
1.3156,0.03622,1.39014
1.288,0.0736,1.3905
1.2637,0.058315,1.39078
1.2498,0.00701,1.39102
1.2383,-0.004415,1.39121
1.2237,0.011815,1.39136
1.2152,-0.01826,1.39147
1.2047,-0.007735,1.39155
1.1961,-0.016805,1.39161
1.1912,-0.03506,1.39164
1.1869,-0.037845,1.39167
1.1805,-0.027025,1.39167
1.1761,-0.036805,1.39166
1.1691,-0.023455,1.39162
1.1642,-0.03371,1.39157
1.1564,-0.01882,1.3915
1.1479,-0.014895,1.3914
1.1388,-0.01144,1.39128
1.1327,-0.026135,1.39113
1.1267,-0.026335,1.39097
1.1172,-0.00836,1.39078
1.1071,-0.004855,1.39056
1.1003,-0.021015,1.39032
1.0937,-0.021685,1.39006
1.0838,-0.00469,1.38978
1.077,-0.01985,1.38947
1.0672,-0.00436,1.38914
1.0608,-0.02104,1.38879
1.0517,-0.007085,1.38842
1.0458,-0.02279,1.38803
1.0375,-0.010375,1.38762
1.0294,-0.01097,1.38719
1.0241,-0.024705,1.38675
1.0166,-0.01333,1.38629
1.0117,-0.026085,1.38581
1.0045,-0.014225,1.38532
0.9972,-0.01336,1.38481
0.9923,-0.025115,1.38429
0.9852,-0.01376,1.38375
0.9804,-0.02502,1.38321
0.9734,-0.01367,1.38264
0.9661,-0.011805,1.38206
0.9612,-0.02356,1.38147
0.9541,-0.012205,1.38086
0.9494,-0.02397,1.38024
0.9424,-0.01212,1.3796
0.9353,-0.011265,1.37895
0.9306,-0.02303,1.37829
0.9239,-0.012695,1.37762
0.9194,-0.02347,1.37694
0.9128,-0.01264,1.37624
0.9062,-0.01231,1.37553
0.9017,-0.022585,1.37481
0.8975,-0.023875,1.37409
0.891,-0.01205,1.37335
0.8865,-0.021825,1.3726
0.8798,-0.01049,1.37184
0.8753,-0.021265,1.37107
0.8689,-0.011445,1.37029
0.8625,-0.011125,1.3695
0.8523,0.008385,1.36869
0.8486,-0.02393,1.36787
0.8442,-0.02021,1.36704
0.8418,-0.03009,1.36621
0.8393,-0.029465,1.36538
0.8354,-0.02227,1.36454
0.8308,-0.01854,1.36369
0.8274,-0.02437,1.36284
0.8223,-0.015615,1.36198
0.8186,-0.02243,1.36112
0.8131,-0.013155,1.36025
0.8072,-0.01086,1.35936
0.8033,-0.020665,1.35847
0.7976,-0.01138,1.35757
0.7938,-0.02069,1.35667
0.7883,-0.011915,1.35576
0.7847,-0.021235,1.35484
0.7811,-0.021055,1.35392
0.7758,-0.01229,1.35299
0.7702,-0.01051,1.35205
0.7666,-0.02033,1.35111
0.7614,-0.01207,1.35016
0.7563,-0.012315,1.3492
0.7514,-0.01307,1.34824
0.7484,-0.02242,1.34727
0.7455,-0.022775,1.3463
0.7412,-0.01556,1.34533
0.7366,-0.01383,1.34434
0.7335,-0.021175,1.34336
0.7291,-0.014455,1.34237
0.7261,-0.021305,1.34138
0.7218,-0.01459,1.34038
0.7189,-0.021445,1.33938
0.7146,-0.01423,1.33837
0.7102,-0.01351,1.33736
0.7073,-0.020865,1.33635
0.7032,-0.01466,1.33533
0.699,-0.01395,1.33431
0.6949,-0.014245,1.33328
0.6923,-0.021615,1.33225
0.6901,-0.023505,1.33122
0.6925,-0.046625,1.3302
0.7195,-0.170975,1.32922
0.7651,-0.266255,1.32833
0.8897,-0.667485,1.32769
0.8334,0.23983,1.32693
0.6381,0.944595,1.32583
0.5921,0.200395,1.32467
0.5796,0.03352,1.32349
0.5729,0.004855,1.3223
0.5743,-0.035715,1.32112
0.5774,-0.04437,1.31995
0.5831,-0.057655,1.31879
0.5887,-0.057435,1.31764
0.5918,-0.04509,1.31649
0.595,-0.04575,1.31535
0.5964,-0.03682,1.31422
0.5964,-0.02982,1.31309
0.5949,-0.022245,1.31196
0.592,-0.0151,1.31083
0.5895,-0.016975,1.3097
0.5853,-0.008265,1.30856
0.5806,-0.00553,1.30742
0.5774,-0.01287,1.30628
0.5729,-0.006145,1.30514
0.5687,-0.007435,1.30399
0.5662,-0.01581,1.30285
0.5629,-0.011645,1.3017
0.56,-0.0135,1.30055
0.5582,-0.01891,1.2994
0.5556,-0.01478,1.29825
0.5536,-0.01768,1.29709
0.5517,-0.018085,1.29594
0.5506,-0.02203,1.2948
0.5491,-0.019955,1.29365
0.5478,-0.02089,1.2925
